district_name,division,performance,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014
GADCHIROLI,Nagpur,1-2_english,,46,,28.8,68.5,,,,
GONDIYA,Nagpur,1-2_english,,47.3,,50.3,86.5,,,,
HINGOLI,Aurangabad,1-2_english,,43.7,,50.9,75.9,,,,
JALGAON,Nashik,1-2_english,,23.3,,35,71.7,,,,
JALNA,Aurangabad,1-2_english,,29.6,,44,78.7,,,,
KOLHAPUR,Pune,1-2_english,,52.2,,62.2,87,,,,
LATUR,Aurangabad,1-2_english,,41.3,,44.1,72.7,,,,
MUMBAI,Konkan,1-2_english,,,,,,,,,
MUMBAI (SUBURBAN),Konkan,1-2_english,,,,,,,,,
NAGPUR,Nagpur,1-2_english,,37.8,,64.3,93.6,,,,
NANDED,Aurangabad,1-2_english,,39.7,,47,82.8,,,,
NANDURBAR,Nashik,1-2_english,,18.9,,91,95.6,,,,
NASHIK,Nashik,1-2_english,,15,,25.1,91.8,,,,
OSMANABAD,Aurangabad,1-2_english,,61.5,,63.9,91.5,,,,
PARBHANI,Aurangabad,1-2_english,,49,,22.8,80.4,,,,
PUNE,Pune,1-2_english,,45,,32.8,93.1,,,,
RAIGARH (MAHARASHTRA),Konkan,1-2_english,,34.3,,51.9,83,,,,
RATNAGIRI,Konkan,1-2_english,,35.6,,71.2,95.4,,,,
SANGLI,Pune,1-2_english,,41.9,,53.5,90.7,,,,
SATARA,Pune,1-2_english,,38,,56.4,90.5,,,,
SINDHUDURG,Konkan,1-2_english,,58.8,,54,90.6,,,,
SOLAPUR,Pune,1-2_english,,60.2,,60.9,89.7,,,,
THANE,Konkan,1-2_english,,42.3,,32.5,76.1,,,,
WARDHA,Nagpur,1-2_english,,56.3,,66.7,79.7,,,,
WASHIM,Amravati,1-2_english,,58.9,,98.8,94.8,,,,
YAVATMAL,Amravati,1-2_english,,31.2,,39.9,66.4,,,,
AHMADNAGAR,Nashik,3-5_english,,14.2,,10.9,,,,,
AKOLA,Amravati,3-5_english,,31.7,,24.6,,,,,
AMRAVATI,Amravati,3-5_english,,17.3,,16.2,,,,,
AURANGABAD (MAHARASHTRA),Aurangabad,3-5_english,,21,,15,,,,,
BHANDARA,Nagpur,3-5_english,,11.2,,5.5,,,,,
BID,Aurangabad,3-5_english,,4.1,,25.3,,,,,
BULDANA,Amravati,3-5_english,,35.3,,8.9,,,,,
CHANDRAPUR,Nagpur,3-5_english,,2.9,,8.9,,,,,
DHULE,Nashik,3-5_english,,16.5,,18.3,,,,,
GADCHIROLI,Nagpur,3-5_english,,10.6,,0.4,,,,,
GONDIYA,Nagpur,3-5_english,,9.7,,4.7,,,,,
HINGOLI,Aurangabad,3-5_english,,8.9,,18.6,,,,,
JALGAON,Nashik,3-5_english,,11,,4.9,,,,,
